name,alphabet_sort
Rodriguez Lopez Productions,R
Maverick,M
Columbia,C
Porter Records,P
Montema Music,M
Virtalevy,V
Big Scary Monsters,B
Happy Mutant,H
Equal Vision Records,E
Fearless Records,F
CBS,C
Brainfeeder,B
Willie Anderson Recordings,W
Mochilla,M
Harvest,H
Suicide Squueze Records,S
Enigma Records,E
Aural Music,A
Deathwish,D
Jazzland Recordings,J
Leaving Records,L
Nadie Sound,N
ATO Records,A
ATP Recordings,A
Denovali Records,D
Tricatel,T
Transgressive Records ,T
Rise Records,R
Svart Records,S
Atlantic,A
Discipline Global Mobile,D
Polydor,P
Music on Vinyl,M
Gold Standard Laboratories,G
Universal Records,U
Heavenly,H
Červený Kůň,C
Timeless,T
Tapestry Records,T
Vertigo,V
Capitol,C
Alucard,A
Chrysalis,C
Not on label,
KGLW,K
Mr. Bongo,M
Valley King Records,V
Yannick South,Y
Clouds Hill,C
Motéma,M
Erika Records,E
JAKARTA,J
Blue Swan Records,B
Melting Pot Music,M
Seven Seas,S
Panegyric,P
