name,artist,release_year,catalog_number,format,variant,comment,cover_front,cover_back,discogs_relase_id,alphabet_sort,owned,label
Vaya,At The Drive-In,2012,F040-1,"10"" vinyl",pink,limited to 3000 pcs.,,,3641234,T,1,Rodriguez Lopez Productions
Diamanté,At The Drive-In,2017,RISE-394,"10"" vinyl",green clear with bone splatter,limited to 3000 pcs.,,,11188685,W,1,Maverick
Live at Clouds Hill,Bosnian Rainbows,2019,CH051,"10"" vinyl",black,,,,13856875,D,1,Columbia
White Pony,Defotnes,2000,9362-49646-6,2x vinyl,black,,,,3651765,W,1,Porter Records
Chicago Transit Authority,Chicago Transit Authority,1969,GP 8,2x vinyl,black,,,,2172078,B,1,Montema Music
Bosnian Rainbows,Bosnian Rainbows,2013,SH101,2x vinyl,transculent green,includes poster,,,4698737,F,1,Virtalevy
Mochilla Presents Timeless: Arthur Verocai,Arthur Verocai,2010,MOLP-009,2x vinyl,black,,,,2755751,R,1,Big Scary Monsters
"Mochilla Presents Timeless: Suite For Ma Dukes - The Music Of James ""J Dilla"" Yancey",Miguel Atwood Ferguson,2010,MOLP-008,2x vinyl,black,,,,2554289,C,1,Columbia
The Buffering Cocoon,Now Vs Now,2018,377 904 6,2x vinyl,black,,,,12595935,B,1,Rodriguez Lopez Productions
South of Reality,The Claypool Lennon Delirium,2019,ATO 0445,2x vinyl,pink + purple split with blue splatter,,,,13244682,N,1,Happy Mutant
In the Unlikely Event,The Fall of Troy,2009,EVR 159,2x vinyl,mint marbled,,,,2144891,W,1,Equal Vision Records
Time,Louis Cole,2018,BF073,2x vinyl,black,,,,12549889,C,1,Equal Vision Records
Relationship of Commands,At The Drive-In,2013,TRANS155XX,2x vinyl,black,,,,4798494,S,1,Equal Vision Records
Fairyport,Wigwam,2014,SVR274,2x vinyl,black,,,,5517166,M,1,Equal Vision Records
Deloused in the Comatorium,The Mars Volta,2014,MOVLP1115,2x vinyl,gold,includes poster,,,5655882,I,1,Fearless Records
Amputechture,The Mars Volta,2014,MOVLP1116,2x vinyl,red and gold,includes poster,,,5762909,L,1,CBS
Scabdates,The Mars Volta,2005,GSL 118,2x vinyl,picture disc,includes poster,,,626263,B,1,Columbia
Live In San Francisco '16,King Gizzard and the Lizard Wizard,2020,ATO0539,2x vinyl,red and grey marbled,,,,16226007,B,1,CBS
Monolith of Phobos,The Claypool Lennon Delirium,2016,ATO 0308LP,2x vinyl + CD,yellow,,,,8608233,I,1,CBS
Bedlam in Goliath,The Mars Volta,2008,B0010616-01,2x vinyl + ouija cutout,red and black,,,,1364851,G,1,Brainfeeder
Light The Portals,Anywhere,2016,VKR723,"3x 7"" vinyl",black,,,,9767307,O,1,Willie Anderson Recordings
Drunk,Thundercat,2017,BF064,"4x 10"" vinyl",red,,,,9888163,A,1,Willie Anderson Recordings
Telesterion,Omar Rodriguez Lopez,2011,RLP021,4x vinyl,black,"box-set, incudes tour pass and 12"" x 12"" booklet",,,2833901,M,1,Mochilla
Insane in the Brain,Cypress Hill,2020,MRB7182,"7"" vinyl",glow in dark,,,,15904292,M,1,Mochilla
Pyramid Mirrors,Anywhere,2011,VKR 705,"7"" vinyl",black,"includes sticker, hand numbered",,,3253795,S,1,Mochilla
Infrared Moses,Anywhere,2012,VKR 706,"7"" vinyl",black,"includes sticker, hand numbered",,,3473533,B,1,Harvest
,Inventa Storca,2005,YS011CD,pamětní deska,pamětní deska,pamětní deska,,,7326831,N,1,Harvest
Dlouhohrající Děcka,J.A.R.,2011,88697913681,vinyl,black,,,,3405292,T,1,Suicide Squueze Records
Who Do You Think You Aren't?,Robby Moncrieff,2010,PRLP-014,vinyl,black,,,,3061125,T,1,Suicide Squueze Records
Beat Music! Beat Music! Beat Music!,Mark Guiliana,2019,MTM0324,vinyl,yellow,includes poster,,,14074278,I,1,Motéma
From Within,Anekdoten,2017,Virta LP003,vinyl,clear,,,,11161093,N,1,Aural Music
Rooms of the House,La Dispute,2014,BL01/BSM148V,vinyl,black,,,,5497079,P,1,Deathwish
Na Zlomený Srdce Vedeš,Mara Jade,2017,HM0009,vinyl,white,,,,11550504,T,1,Big Scary Monsters
Wake,Hail The Sun,2014,EVR393,vinyl,olive green opaque,"includes insert, signed",,,11077199,B,1,Jazzland Recordings
Culture Scars,Hail The Sun,2016,EVR351,vinyl,opaque brown and cream marble,includes insert,,,11706070,T,1,Leaving Records
Secret Wars,Hail The Sun,2017,EVR398,vinyl,reddish brown marble vinyl,etched B side,,,11690737,A,1,Nadie Sound
Mental Knife,Hail The Sun,2018,EVR388,vinyl,blue and white mix,includes insert,,,12599229,S,1,ATO Records
In/Casino/Out,At The Drive-In,2012,FRL 39034-1,vinyl,clear,includes insert,,,3728830,M,1,ATO Records
Love Devotion Surrender,Carlos Santana & Mahavishnu John McLaughlin,1973,CBS S 69037,vinyl,black,"signed, Netherlands edition",,,6495683,A,1,ATP Recordings
Between Nothingness & Eternity,The Mahavishnu Orchestra,1973,BL 32766,vinyl,black,release not reliable,,,368151,O,1,Big Scary Monsters
